MTGNP Card Instances — Individual card_id values used in protocol messages
card_id (protocol reference)	Card Name	Card Type	Color	Copy #
grizzly_bears_001	Grizzly Bears	Creature	G	1
grizzly_bears_002	Grizzly Bears	Creature	G	2
grizzly_bears_003	Grizzly Bears	Creature	G	3
grizzly_bears_004	Grizzly Bears	Creature	G	4
leatherback_baloth_001	Leatherback Baloth	Creature	G	1
leatherback_baloth_002	Leatherback Baloth	Creature	G	2
leatherback_baloth_003	Leatherback Baloth	Creature	G	3
leatherback_baloth_004	Leatherback Baloth	Creature	G	4
troll_ascetic_001	Troll Ascetic	Creature	G	1
troll_ascetic_002	Troll Ascetic	Creature	G	2
troll_ascetic_003	Troll Ascetic	Creature	G	3
troll_ascetic_004	Troll Ascetic	Creature	G	4
wall_of_stone_001	Wall of Stone	Creature	R	1
wall_of_stone_002	Wall of Stone	Creature	R	2
wall_of_stone_003	Wall of Stone	Creature	R	3
wall_of_stone_004	Wall of Stone	Creature	R	4
swords_to_plowshares_001	Swords to Plowshares	Instant	W	1
swords_to_plowshares_002	Swords to Plowshares	Instant	W	2
swords_to_plowshares_003	Swords to Plowshares	Instant	W	3
swords_to_plowshares_004	Swords to Plowshares	Instant	W	4
path_to_exile_001	Path to Exile	Instant	W	1
path_to_exile_002	Path to Exile	Instant	W	2
path_to_exile_003	Path to Exile	Instant	W	3
path_to_exile_004	Path to Exile	Instant	W	4
healing_salve_001	Healing Salve	Instant	W	1
healing_salve_002	Healing Salve	Instant	W	2
healing_salve_003	Healing Salve	Instant	W	3
healing_salve_004	Healing Salve	Instant	W	4
pacifism_001	Pacifism	Enchantment	W	1
pacifism_002	Pacifism	Enchantment	W	2
pacifism_003	Pacifism	Enchantment	W	3
pacifism_004	Pacifism	Enchantment	W	4
white_knight_001	White Knight	Creature	W	1
white_knight_002	White Knight	Creature	W	2
white_knight_003	White Knight	Creature	W	3
white_knight_004	White Knight	Creature	W	4
serra_angel_001	Serra Angel	Creature	W	1
serra_angel_002	Serra Angel	Creature	W	2
serra_angel_003	Serra Angel	Creature	W	3
serra_angel_004	Serra Angel	Creature	W	4
savannah_lions_001	Savannah Lions	Creature	W	1
savannah_lions_002	Savannah Lions	Creature	W	2
savannah_lions_003	Savannah Lions	Creature	W	3
savannah_lions_004	Savannah Lions	Creature	W	4
mother_of_runes_001	Mother of Runes	Creature	W	1
mother_of_runes_002	Mother of Runes	Creature	W	2
mother_of_runes_003	Mother of Runes	Creature	W	3
mother_of_runes_004	Mother of Runes	Creature	W	4
dark_ritual_001	Dark Ritual	Instant	B	1
dark_ritual_002	Dark Ritual	Instant	B	2
dark_ritual_003	Dark Ritual	Instant	B	3
dark_ritual_004	Dark Ritual	Instant	B	4
terror_001	Terror	Instant	B	1
terror_002	Terror	Instant	B	2
terror_003	Terror	Instant	B	3
terror_004	Terror	Instant	B	4
doom_blade_001	Doom Blade	Instant	B	1
doom_blade_002	Doom Blade	Instant	B	2
doom_blade_003	Doom Blade	Instant	B	3
doom_blade_004	Doom Blade	Instant	B	4
raise_dead_001	Raise Dead	Sorcery	B	1
raise_dead_002	Raise Dead	Sorcery	B	2
raise_dead_003	Raise Dead	Sorcery	B	3
raise_dead_004	Raise Dead	Sorcery	B	4
mind_rot_001	Mind Rot	Sorcery	B	1
mind_rot_002	Mind Rot	Sorcery	B	2
mind_rot_003	Mind Rot	Sorcery	B	3
mind_rot_004	Mind Rot	Sorcery	B	4
gray_merchant_001	Gray Merchant of Asphodel	Creature	B	1
gray_merchant_002	Gray Merchant of Asphodel	Creature	B	2
gray_merchant_003	Gray Merchant of Asphodel	Creature	B	3
gray_merchant_004	Gray Merchant of Asphodel	Creature	B	4
gravedigger_001	Gravedigger	Creature	B	1
gravedigger_002	Gravedigger	Creature	B	2
gravedigger_003	Gravedigger	Creature	B	3
gravedigger_004	Gravedigger	Creature	B	4
royal_assassin_001	Royal Assassin	Creature	B	1
royal_assassin_002	Royal Assassin	Creature	B	2
royal_assassin_003	Royal Assassin	Creature	B	3
royal_assassin_004	Royal Assassin	Creature	B	4
black_knight_001	Black Knight	Creature	B	1
black_knight_002	Black Knight	Creature	B	2
black_knight_003	Black Knight	Creature	B	3
black_knight_004	Black Knight	Creature	B	4
sol_ring_001	Sol Ring	Artifact	C	1
sol_ring_002	Sol Ring	Artifact	C	2
sol_ring_003	Sol Ring	Artifact	C	3
sol_ring_004	Sol Ring	Artifact	C	4
ornithopter_001	Ornithopter	Artifact Creature	C	1
ornithopter_002	Ornithopter	Artifact Creature	C	2
ornithopter_003	Ornithopter	Artifact Creature	C	3
ornithopter_004	Ornithopter	Artifact Creature	C	4
millstone_001	Millstone	Artifact	C	1
millstone_002	Millstone	Artifact	C	2
millstone_003	Millstone	Artifact	C	3
millstone_004	Millstone	Artifact	C	4
rod_of_ruin_001	Rod of Ruin	Artifact	C	1
rod_of_ruin_002	Rod of Ruin	Artifact	C	2
rod_of_ruin_003	Rod of Ruin	Artifact	C	3
rod_of_ruin_004	Rod of Ruin	Artifact	C	4
